YR,Plot,Strains,MG,PD,Rep,Irr,FinalCFU,LogCFU,AUDPC,LogAUDPC,YldKgHa
2016,112,6070242,4,2,1,Irr,11200.00,4.05,6000.00,3.78,2050.99
2016,131,Pharaoh,4,2,1,Irr,17200.00,4.24,8900.00,3.95,2926.31
2016,132,Pharaoh,4,2,1,Nonirr,2800.00,3.45,2200.00,3.34,1838.98
2016,139,DS97949,4,2,1,Nonirr,400.00,2.60,400.00,2.60,1456.85
2016,140,DS97949,4,2,1,Irr,1000.00,3.00,900.00,2.95,2211.92
2016,143,60561121,4,2,1,Nonirr,1600.00,3.20,1000.00,3.00,1444.66
2016,144,60561121,4,2,1,Irr,2600.00,3.41,2000.00,3.30,2238.06
2016,147,LS980358,4,2,1,Irr,200.00,2.30,1000.00,3.00,2357.54
2016,148,LS980358,4,2,1,Nonirr,3200.00,3.51,1700.00,3.23,2089.52
2016,211,DS97949,4,2,2,Nonirr,400.00,2.60,2200.00,3.34,1470.73
2016,212,DS97949,4,2,2,Irr,800.00,2.90,1200.00,3.08,1823.13
2016,215,Pharaoh,4,2,2,Irr,200.00,2.30,700.00,2.85,.
2016,216,Pharaoh,4,2,2,Nonirr,2400.00,3.38,1500.00,3.18,.
2016,217,60561121,4,2,2,Irr,5200.00,3.72,3600.00,3.56,1953.87
2016,218,60561121,4,2,2,Nonirr,1800.00,3.26,1500.00,3.18,1613.38
2016,221,60561331,5,2,2,Nonirr,800.00,2.90,800.00,2.90,1770.28
2016,222,60561331,5,2,2,Irr,600.00,2.78,1100.00,3.04,2319.88
2016,239,LS980358,4,2,2,Irr,69200.00,4.84,34900.00,4.54,2700.48
2016,240,LS980358,4,2,2,Nonirr,200.00,2.30,300.00,2.48,2926.45
2016,241,6070242,4,2,2,Irr,0.00,0.00,1200.00,3.08,1359.64
2016,242,6070242,4,2,2,Nonirr,15600.00,4.19,7800.00,3.89,.
2016,243,DT974290,4,2,2,Nonirr,0.00,0.00,600.00,2.78,2889.99
2016,244,DT974290,4,2,2,Irr,0.00,0.00,400.00,2.60,2734.88
2016,247,DS880,5,2,2,Nonirr,200.00,2.30,1500.00,3.18,1999.00
2016,248,DS880,5,2,2,Irr,0.00,0.00,400.00,2.60,3514.05
2016,301,60561121,4,2,3,Irr,9000.00,3.95,4800.00,3.68,2135.76
2016,302,60561121,4,2,3,Nonirr,0.00,0.00,200.00,2.30,1924.45
2016,305,Pharaoh,4,2,3,Irr,1200.00,3.08,1400.00,3.15,2862.35
2016,306,Pharaoh,4,2,3,Nonirr,9000.00,3.95,5500.00,3.74,2483.60
2016,307,LS980358,4,2,3,Irr,200.00,2.30,500.00,2.70,2320.80
2016,308,LS980358,4,2,3,Nonirr,16200.00,4.21,8200.00,3.91,1507.77
2016,309,DS880,5,2,3,Irr,0.00,0.00,0.00,.,3072.45
2016,310,DS880,5,2,3,Nonirr,0.00,0.00,300.00,2.48,2828.30
2016,313,DS97949,4,2,3,Nonirr,19400.00,4.29,10600.00,4.03,1622.32
2016,314,DS97949,4,2,3,Irr,22400.00,4.35,11300.00,4.05,2216.87
2016,319,6070242,4,2,3,Irr,2800.00,3.45,2400.00,3.38,1435.74
2016,320,6070242,4,2,3,Nonirr,8200.00,3.91,5300.00,3.72,1889.68
2016,333,DT974290,4,2,3,Nonirr,0.00,0.00,1100.00,3.04,2345.08
2016,334,DT974290,4,2,3,Irr,0.00,0.00,600.00,2.78,2816.77
2016,339,60561331,5,2,3,Irr,1000.00,3.00,900.00,2.95,2421.50
2016,340,60561331,5,2,3,Nonirr,1000.00,3.00,1100.00,3.04,1434.11
2016,103,LS980358,4,3,1,Nonirr,200.00,2.30,400.00,2.60,2331.35
2016,104,LS980358,4,3,1,Irr,1200.00,3.08,2400.00,3.38,3160.12
2016,119,DS97949,4,3,1,Irr,1200.00,3.08,600.00,2.78,2784.71
2016,120,DS97949,4,3,1,Nonirr,13200.00,4.12,7400.00,3.87,2427.70
2016,123,6070242,4,3,1,Nonirr,0.00,0.00,400.00,2.60,2036.81
2016,124,6070242,4,3,1,Irr,1400.00,3.15,900.00,2.95,2704.12
2016,125,60561121,4,3,1,Nonirr,200.00,2.30,3300.00,3.52,1350.58
2016,126,60561121,4,3,1,Irr,200.00,2.30,4400.00,3.64,2188.37
2016,127,Pharaoh,4,3,1,Irr,29000.00,4.46,15000.00,4.18,2140.19
2016,128,Pharaoh,4,3,1,Nonirr,3000.00,3.48,2600.00,3.41,1906.70
